"Qty";"Value";"Device";"Package";"Parts";"Description";"APPLICATION";"CATEGORY";"COLOR";"CREATED_BY";"DATA-RATE";"DATASHEET-URL";"DESCRIPTION";"FILTER_TYPE";"FORWARD_CURRENT";"GENDER";"GERDER";"IMPEDANCE_FREQ";"INTERFACE-TYPE";"IR1";"LED";"MANUFACTURER";"MATES-WITH";"MOUNT";"MPN";"OPERATING_TEMP";"PACKAGE";"PACKAGING";"PART-NUMBER";"PART_STATUS";"PINS";"POE";"POPULARITY";"PORTS";"QTY";"RATING";"REVERSE_VOLTAGE";"ROHS_COMPLIANT";"SERIES";"SUB-CATEGORY";"THERMALLOSS";"TOLERANCE";"TP_SIGNAL_NAME";"TYPE";"USB";"VALUE";"VOLTAGE_RATING";"WE-NUMBER";"WORKING-VOLTAGE";
"1";"";"418217270904A";"418217270904A";"S1";"WS-DITU Compact THT Right Angled with Raised Actuator 2.54 mm";"";"";"";"";"";"https://www.we-online.com/catalog/datasheet/418217270904A.pdf";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"418217270904A";"";" 4 ";"";"";"";" 44 ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"6180XX211721_618009211721";"618009211721";"J1";"WR-DSUB 8.08 mm Male Angled PCB Connector w/o Hex Screw";"";"";"";"";"";"https://www.we-online.com/catalog/datasheet/618009211721.pdf";"";"";"";"Male";"";"";"";"";"";"";"WR-DSUB 10.30 mm Female Angled PCB Connector w. Hex Screw and w/o Hex/ Screw/8.08 mm Female Angled PCB Connector w. Hex Screw and w/o Hex/ Screw/Female IDC/Female PCB Connector w. Hex Screw/Female Solder Bucket";"";"";"";"";"";"618009211721";"";" 9 ";"";"";"";"";"";"";"";"";"";"";"";"";"Angled";"";"";"";"618009211721";"";
"2";"";"CHIP-ROUND-R_0805";"LEDC2012X105N_RND-R";"D2, D3";"LED - Generic";"";"LED";"RED";"";"";"";"CHIP LED ROUND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CHIP";"";"";"";"ROUND_TOP";"";"";"";"";"";
"4";"";"PINHD-1X2";"1X02";"JP2, JP3, JP4, JP5";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"98";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"PINHD-2X8/90";"2X08/90";"JP1";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"";"WE-RJ45_74980104400";"74980104400";"T1, T2";"WE-RJ45 LAN Through Hole Reflow";"";"";"";"";"10/100 Base-T";"https://www.we-online.com/catalog/datasheet/74980104400.pdf";"";"";"";"";"";"";"";"";"green/yellow-green/yellow";"";"";"THR";"";"";"";"";" 74980104400 ";"";"";"non-PoE";"";" 1 ";"";"";"";"";"";"";"";"";"";"";"No";"";"";"";"";
"2";"0.01uF";"C-US_CHIP-0805(2012-METRIC)";"CAPC2012X110";"C12, C14";"Capacitor - ANSI";"";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"13";"0.1uF";"C-US_CHIP-0805(2012-METRIC)";"CAPC2012X110";"C1, C2, C3, C4, C5, C6, C7, C8, C11, C13, C18, C20, C21";"Capacitor - ANSI";"";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"1.2K";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"R2, R3, R5, R6";"Resistor Fixed - ANSI";"";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fixed";"";"";"";"";"";"";"";"";"";
"1";"10k";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"R1";"Resistor Fixed - ANSI";"";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fixed";"";"";"";"";"";"";"";"";"";
"3";"10nF";"C-US_CHIP-0805(2012-METRIC)";"CAPC2012X110";"C16, C17, C19";"Capacitor - ANSI";"";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10uF";"C-US_CHIP-0805(2012-METRIC)";"CAPC2012X110";"C22";"Capacitor - ANSI";"";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"120E";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"R4, R9";"Resistor Fixed - ANSI";"";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fixed";"";"";"";"";"";"";"";"";"";
"2";"1K";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"R7, R8";"Resistor Fixed - ANSI";"";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fixed";"";"";"";"";"";"";"";"";"";
"2";"22pF";"C-US_CHIP-0805(2012-METRIC)";"CAPC2012X110";"C9, C10";"Capacitor - ANSI";"";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"2k";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"R12";"Resistor Fixed - ANSI";"";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fixed";"";"";"";"";"";"";"";"";"";
"1";"4700pF";"C-US_CHIP-0805(2012-METRIC)";"CAPC2012X110";"C23";"Capacitor - ANSI";"";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"5032/2P 16MHz";"5032/2P";"5032/2P";"X1";"Crystal";"";"";"";"PCBLayout.com";"";"";"";"";"";"";"";"";"";"";"";"Xinhunjing";"";"";"5032/2P";"";"SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"60.4";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"R10, R11";"Resistor Fixed - ANSI";"";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fixed";"";"";"";"";"";"";"";"";"";
"1";"61410416121R";"61410416121R";"61410416121R";"J2";"WR-COM USB 2.0 Type B Horizontal THR";"USB 2.0";"";"";"";"";"https://www.we-online.com/catalog/datasheet/61410416121R.pdf";"";"";"";"";"Receptacle";"";"Type B";"1.5A";"";"";"";"THR";"";"";"";"Tape and Reel";"61410416121R";"";" 4 ";"";"";"";"";"";"";"";"";"";"";"";"";"Horizontal";"";"61410416121R";"";"";"30V(AC)";
"1";"ADM2587E";"ADM2587E";"SOIC127P1032X265-20N";"IC2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"ADM3050E";"ADM3050E";"SOIC127P1031X265-8N";"IC6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"ADM3251E";"ADM3251E";"SOIC127P1032X265-20N";"IC1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"FERRITE_BEAD 2.2K 100MHz";"FBCHIP-0805(2012-METRIC)";"BEADC2012X105N";"FB1, FB2";"Ferrite Bead - Generic";"";"Filter";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Ferrite bead";"";"";"";"";"";"FERRITE_BEAD";"";"";"";
"1";"FT232RL";"FT232RL_SSOP";"SSOP28";"IC7";"USB Bridge, USB to UART USB 2.0 UART Interface";"";"IC_Interface";"";"";"";"";"";"";"";"";"";"";"";"";"";"FTDI Chip";"";"";"FT232RL";"-40 to 85Â°C";"";"";"";"Active";"";"";"";"";"";"";"";"Compliant";"";"Controller";"0.5W";"";"";"USB to UART";"";"FT232RL";"";"";"";
"1";"MCP2518FD";"MCP2518FD";"SOIC127P600X175-14N";"IC5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"PESD1CAN";"PESD1CAN";"SOT23";"D1";"CAN bus ESD protection diode";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"R_0805";"CHIP-ROUND-R_0805";"LEDC2012X105N_RND-R";"D9, D10";"LED - Generic";"";"LED";"RED";"";"";"";"CHIP LED ROUND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CHIP";"";"";"";"ROUND_TOP";"";"";"";"";"";
"12";"TPB1,27";"TPB1,27";"B1,27";"5V, A, B, CANH, CANL, CAN_RX, CAN_TX, GND, RX, TX, Y, Z";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"19";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
